city_us,city_ascii,lat_us,lng_us,country_us,iso2_us,iso3_us,admin_name_us,capital_us,population_us,id_us,city_foreign,lat_foreign,lng_foreign,country_foreign,iso2_foreign,iso3_foreign,admin_name_foreign,capital_foreign,population_foreign,id_foreign,language,English,Spanish,French,Arabic,German,Italian,Portuguese,Dutch
Colonia,Colonia,40.5929,-74.3151,United States,US,USA,New Jersey,,17486.0,1840005411,Colonia,9.5144,138.1292,"Micronesia, Federated States Of",FM,FSM,Yap,admin,,1583511563,['English'],True,False,False,False,False,False,False,False
Versailles,Versailles,38.0488,-84.726,United States,US,USA,Kentucky,,17250.0,1840015212,Versailles,48.8005,2.1333,France,FR,FRA,Île-de-France,minor,85416.0,1250143827,['French'],False,False,True,False,False,False,False,False
Mercedes,Mercedes,26.1533,-97.9129,United States,US,USA,Texas,,16734.0,1840021025,Mercedes,-33.2595,-58.03,Uruguay,UY,URY,Soriano,admin,42359.0,1858182538,['Spanish'],False,True,False,False,False,False,False,False
Mercedes,Mercedes,26.1533,-97.9129,United States,US,USA,Texas,,16734.0,1840021025,Mercedes,-34.66,-59.44,Argentina,AR,ARG,Buenos Aires,minor,52949.0,1032994289,['Spanish'],False,True,False,False,False,False,False,False
Mercedes,Mercedes,26.1533,-97.9129,United States,US,USA,Texas,,16734.0,1840021025,Mercedes,-29.1796,-58.08,Argentina,AR,ARG,Corrientes,minor,30649.0,1032972413,['Spanish'],False,True,False,False,False,False,False,False
Vienna,Vienna,38.8996,-77.2597,United States,US,USA,Virginia,,16544.0,1840003829,Vienna,48.2,16.3666,Austria,AT,AUT,Wien,primary,2400000.0,1040261752,['German'],False,False,False,False,True,False,False,False
Vienna,Vienna,39.3238,-81.5383,United States,US,USA,West Virginia,,10370.0,1840005787,Vienna,48.2,16.3666,Austria,AT,AUT,Wien,primary,2400000.0,1040261752,['German'],False,False,False,False,True,False,False,False
Vienna,Vienna,43.2344,-75.7777,United States,US,USA,New York,,5445.0,1840058566,Vienna,48.2,16.3666,Austria,AT,AUT,Wien,primary,2400000.0,1040261752,['German'],False,False,False,False,True,False,False,False
Douglas,Douglas,31.3602,-109.5394,United States,US,USA,Arizona,,16438.0,1840019496,Douglas,54.1504,-4.48,Isle Of Man,IM,IMN,,,35854.0,1833688345,"['English', 'Manx Gaelic']",True,False,False,False,False,False,False,False
Douglas,Douglas,31.5065,-82.8543,United States,US,USA,Georgia,,13960.0,1840014946,Douglas,54.1504,-4.48,Isle Of Man,IM,IMN,,,35854.0,1833688345,"['English', 'Manx Gaelic']",True,False,False,False,False,False,False,False
Douglas,Douglas,42.7541,-105.3968,United States,US,USA,Wyoming,,6407.0,1840018655,Douglas,54.1504,-4.48,Isle Of Man,IM,IMN,,,35854.0,1833688345,"['English', 'Manx Gaelic']",True,False,False,False,False,False,False,False
Douglas,Douglas,42.0525,-71.7516,United States,US,USA,Massachusetts,,8722.0,1840053689,Douglas,54.1504,-4.48,Isle Of Man,IM,IMN,,,35854.0,1833688345,"['English', 'Manx Gaelic']",True,False,False,False,False,False,False,False
Jasper,Jasper,38.3934,-86.9404,United States,US,USA,Indiana,,16262.0,1840008646,Jasper,52.8833,-118.0834,Canada,CA,CAN,Alberta,,3907.0,1124533812,"['English', 'French']",True,False,True,False,False,False,False,False
