city_ascii,lat_us,lng_us,country_foreign,language,English,Spanish,French,Arabic,German,Italian,Portuguese,Dutch
Colonia,40.5929,-74.3151,"Micronesia, Federated States Of",['English'],True,False,False,False,False,False,False,False
Versailles,38.0488,-84.726,France,['French'],False,False,True,False,False,False,False,False
Mercedes,26.1533,-97.9129,Uruguay,['Spanish'],False,True,False,False,False,False,False,False
Mercedes,26.1533,-97.9129,Argentina,['Spanish'],False,True,False,False,False,False,False,False
Mercedes,26.1533,-97.9129,Argentina,['Spanish'],False,True,False,False,False,False,False,False
Vienna,38.8996,-77.2597,Austria,['German'],False,False,False,False,True,False,False,False
Vienna,39.3238,-81.5383,Austria,['German'],False,False,False,False,True,False,False,False
Vienna,43.2344,-75.7777,Austria,['German'],False,False,False,False,True,False,False,False
Douglas,31.3602,-109.5394,Isle Of Man,"['English', 'Manx Gaelic']",True,False,False,False,False,False,False,False
Douglas,31.5065,-82.8543,Isle Of Man,"['English', 'Manx Gaelic']",True,False,False,False,False,False,False,False
Douglas,42.7541,-105.3968,Isle Of Man,"['English', 'Manx Gaelic']",True,False,False,False,False,False,False,False
Douglas,42.0525,-71.7516,Isle Of Man,"['English', 'Manx Gaelic']",True,False,False,False,False,False,False,False
Jasper,38.3934,-86.9404,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Jasper,33.8514,-87.2719,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Jasper,30.9221,-93.9947,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Jasper,34.4709,-84.4496,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Griffith,41.5279,-87.424,Australia,['English'],True,False,False,False,False,False,False,False
Belgrade,45.7796,-111.1751,Serbia,['Serbian'],False,False,False,False,False,False,False,False
Hereford,34.8232,-102.4001,United Kingdom,['English'],True,False,False,False,False,False,False,False
Damascus,39.2737,-77.2006,Syria,['Arabic'],False,False,False,True,False,False,False,False
Damascus,45.4239,-122.447,Syria,['Arabic'],False,False,False,True,False,False,False,False
Glasgow,39.6015,-75.7474,United Kingdom,['English'],True,False,False,False,False,False,False,False
Glasgow,37.0047,-85.9263,United Kingdom,['English'],True,False,False,False,False,False,False,False
Thompson,41.6474,-74.6745,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Thompson,41.9798,-71.8735,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Kerman,36.7249,-120.0625,Iran,['Persian'],False,False,False,False,False,False,False,False
Exeter,42.9901,-70.9646,United Kingdom,['English'],True,False,False,False,False,False,False,False
Exeter,36.294,-119.1459,United Kingdom,['English'],True,False,False,False,False,False,False,False
Exeter,41.3338,-75.8214,United Kingdom,['English'],True,False,False,False,False,False,False,False
Exeter,41.5658,-71.6307,United Kingdom,['English'],True,False,False,False,False,False,False,False
Horsham,40.1825,-75.1387,Australia,['English'],True,False,False,False,False,False,False,False
Bridgetown,39.1551,-84.6359,Barbados,['English'],True,False,False,False,False,False,False,False
Uxbridge,42.0593,-71.638,United Kingdom,['English'],True,False,False,False,False,False,False,False
Ipswich,42.6857,-70.8399,United Kingdom,['English'],True,False,False,False,False,False,False,False
Verona,40.8323,-74.243,Italy,['Italian'],False,False,False,False,False,True,False,False
Verona,42.9884,-89.5381,Italy,['Italian'],False,False,False,False,False,True,False,False
Verona,43.1592,-75.6189,Italy,['Italian'],False,False,False,False,False,True,False,False
Warrington,30.3821,-87.2944,United Kingdom,['English'],True,False,False,False,False,False,False,False
San Marino,34.1224,-118.1132,San Marino,['Italian'],False,False,False,False,False,True,False,False
Cornwall,41.4195,-74.054,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Woolwich,39.7401,-75.317,United Kingdom,['English'],True,False,False,False,False,False,False,False
Leeds,33.5429,-86.5636,United Kingdom,['English'],True,False,False,False,False,False,False,False
Rehoboth,41.8439,-71.2456,Namibia,['English'],True,False,False,False,False,False,False,False
Newcastle,47.5303,-122.1633,Australia,['English'],True,False,False,False,False,False,False,False
Newcastle,35.2404,-97.5998,Australia,['English'],True,False,False,False,False,False,False,False
Dudley,42.055,-71.9352,United Kingdom,['English'],True,False,False,False,False,False,False,False
Delhi,37.4306,-120.7759,India,"['Hindi', 'English']",True,False,False,False,False,False,False,False
Winton,37.3854,-120.6173,Australia,['English'],True,False,False,False,False,False,False,False
Ravenna,41.1613,-81.2421,Italy,['Italian'],False,False,False,False,False,True,False,False
Bradford,41.9604,-78.6413,United Kingdom,['English'],True,False,False,False,False,False,False,False
Roma,26.4166,-99.0061,Australia,['English'],True,False,False,False,False,False,False,False
Leicester,42.24,-71.912,United Kingdom,['English'],True,False,False,False,False,False,False,False
Southport,42.04,-76.8774,United Kingdom,['English'],True,False,False,False,False,False,False,False
