city_ascii,lat_us,lng_us,language,country_foreign,English,Spanish,French,Arabic,German,Italian,Portuguese,Dutch
Chester,39.8456,-75.3719,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Chester,41.357,-74.2769,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Clare,43.8259,-84.763,['English'],['Australia'],True,False,False,False,False,False,False,False
Colonia,40.5929,-74.3151,['English'],"['Micronesia, Federated States Of']",True,False,False,False,False,False,False,False
Concordia,39.5669,-97.6466,['Portuguese' 'Spanish'],"['Argentina', 'Brazil']",False,True,False,False,False,False,True,False
Cornwall,41.4195,-74.054,['English' 'French'],['Canada'],True,False,True,False,False,False,False,False
Coventry,41.6933,-71.6611,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Coventry,41.7828,-72.3394,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Creston,41.0597,-94.365,['English' 'French'],['Canada'],True,False,True,False,False,False,False,False
Croydon,40.0911,-74.8975,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Damascus,39.2737,-77.2006,['Arabic'],['Syria'],False,False,False,True,False,False,False,False
Damascus,45.4239,-122.447,['Arabic'],['Syria'],False,False,False,True,False,False,False,False
Darlington,34.3015,-79.8672,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Delhi,37.4306,-120.7759,['English' 'Hindi'],['India'],True,False,False,False,False,False,False,False
Derby,37.5571,-97.2552,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Derby,39.8401,-104.9171,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Derby,41.3265,-73.0833,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Derry,42.8888,-71.2804,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Douglas,31.3602,-109.5394,['English' 'Manx Gaelic'],['Isle Of Man'],True,False,False,False,False,False,False,False
Douglas,31.5065,-82.8543,['English' 'Manx Gaelic'],['Isle Of Man'],True,False,False,False,False,False,False,False
Douglas,42.0525,-71.7516,['English' 'Manx Gaelic'],['Isle Of Man'],True,False,False,False,False,False,False,False
Douglas,42.7541,-105.3968,['English' 'Manx Gaelic'],['Isle Of Man'],True,False,False,False,False,False,False,False
Dover,39.161,-75.5203,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Dover,40.0033,-76.8484,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Dover,40.5302,-81.4805,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Dover,40.8859,-74.5597,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Dover,41.6839,-73.5739,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Dover,42.2366,-71.2842,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Dover,43.1887,-70.8845,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Dublin,32.5359,-82.9279,['English' 'Irish'],['Ireland'],True,False,False,False,False,False,False,False
Dublin,37.7161,-121.8964,['English' 'Irish'],['Ireland'],True,False,False,False,False,False,False,False
Dublin,40.1112,-83.1453,['English' 'Irish'],['Ireland'],True,False,False,False,False,False,False,False
Dudley,42.055,-71.9352,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Dumbarton,37.613,-77.5065,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Dumfries,38.567,-77.3233,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Dunedin,28.0329,-82.7863,['English' 'Maori'],['New Zealand'],True,False,False,False,False,False,False,False
Durango,37.2744,-107.8703,['Spanish'],['Mexico'],False,True,False,False,False,False,False,False
Durham,35.9795,-78.9032,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
